id,object,created,owned_by,permission,permission_id,permission_object,permission_created,permission_allow_create_engine,permission_allow_sampling,permission_allow_logprobs,permission_allow_search_indices,permission_allow_view,permission_allow_fine_tuning,permission_organization,permission_group,permission_is_blocking
curie-similarity,model,1651172510,openai-dev,"[{'id': 'modelperm-gSmuEPu9Q8KjQhJ5myLNKIIV', 'object': 'model_permission', 'created': 1690864620, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-gSmuEPu9Q8KjQhJ5myLNKIIV,model_permission,1690864620,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-curie-query-001,model,1651172509,openai-dev,"[{'id': 'modelperm-fNgpMH6ZEQulSq1CjzlfQuIe', 'object': 'model_permission', 'created': 1690864192, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-fNgpMH6ZEQulSq1CjzlfQuIe,model_permission,1690864192,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
davinci-similarity,model,1651172509,openai-dev,"[{'id': 'modelperm-XHJ9P2cvfDAl6Q6NABs6wD7G', 'object': 'model_permission', 'created': 1690864520, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-XHJ9P2cvfDAl6Q6NABs6wD7G,model_permission,1690864520,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
babbage-search-query,model,1651172509,openai-dev,"[{'id': 'modelperm-o5hcKERXLlTSB0nfq8fPkAzK', 'object': 'model_permission', 'created': 1690864257, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-o5hcKERXLlTSB0nfq8fPkAzK,model_permission,1690864257,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-babbage-query-001,model,1651172509,openai-dev,"[{'id': 'modelperm-PHk5XyJIMEk88v14M2eEcJfE', 'object': 'model_permission', 'created': 1690864079, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-PHk5XyJIMEk88v14M2eEcJfE,model_permission,1690864079,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-curie-doc-001,model,1651172509,openai-dev,"[{'id': 'modelperm-7mOkCIwOIehlltLDPM1oSKN7', 'object': 'model_permission', 'created': 1690864279, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-7mOkCIwOIehlltLDPM1oSKN7,model_permission,1690864279,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
babbage-code-search-text,model,1651172509,openai-dev,"[{'id': 'modelperm-9AyTgRlbDLetEnvXKDgJvSvR', 'object': 'model_permission', 'created': 1690864101, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-9AyTgRlbDLetEnvXKDgJvSvR,model_permission,1690864101,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
davinci-search-document,model,1651172509,openai-dev,"[{'id': 'modelperm-1jEFSTL1yLUnTyI8TekKPGQF', 'object': 'model_permission', 'created': 1690864158, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-1jEFSTL1yLUnTyI8TekKPGQF,model_permission,1690864158,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
curie-search-query,model,1651172509,openai-dev,"[{'id': 'modelperm-fvYLh7mrZBoEXRa9teCq7ZsK', 'object': 'model_permission', 'created': 1690864488, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-fvYLh7mrZBoEXRa9teCq7ZsK,model_permission,1690864488,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
babbage-code-search-code,model,1651172509,openai-dev,"[{'id': 'modelperm-UdNutuGVhzb5EBzlkaztBdMH', 'object': 'model_permission', 'created': 1690864182, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-UdNutuGVhzb5EBzlkaztBdMH,model_permission,1690864182,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-babbage-doc-001,model,1651172509,openai-dev,"[{'id': 'modelperm-dvJNsLdOcnLbIYlRZRnfQAfX', 'object': 'model_permission', 'created': 1690864628, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-dvJNsLdOcnLbIYlRZRnfQAfX,model_permission,1690864628,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
curie-search-document,model,1651172508,openai-dev,"[{'id': 'modelperm-o3nt5yDhE7FpA8PtMlzGuW3k', 'object': 'model_permission', 'created': 1690864552, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-o3nt5yDhE7FpA8PtMlzGuW3k,model_permission,1690864552,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-similarity-curie-001,model,1651172507,openai-dev,"[{'id': 'modelperm-ZQZGhVQCQSN4WC1wRJsFZfRL', 'object': 'model_permission', 'created': 1690864230, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-ZQZGhVQCQSN4WC1wRJsFZfRL,model_permission,1690864230,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
ada-similarity,model,1651172507,openai-dev,"[{'id': 'modelperm-Tz8CgePTpeDdl0q0mDxAseS4', 'object': 'model_permission', 'created': 1690864543, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-Tz8CgePTpeDdl0q0mDxAseS4,model_permission,1690864543,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-ada-doc-001,model,1651172507,openai-dev,"[{'id': 'modelperm-WQoo7GOoaleCrrerQ8ROIejy', 'object': 'model_permission', 'created': 1690864068, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-WQoo7GOoaleCrrerQ8ROIejy,model_permission,1690864068,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
code-search-ada-code-001,model,1651172507,openai-dev,"[{'id': 'modelperm-lPJ8tQWzTuRpZpOjtRN4CjlP', 'object': 'model_permission', 'created': 1690864269, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-lPJ8tQWzTuRpZpOjtRN4CjlP,model_permission,1690864269,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
code-search-babbage-text-001,model,1651172507,openai-dev,"[{'id': 'modelperm-uH251hsudZq0DqxtTcSYFTcD', 'object': 'model_permission', 'created': 1690864593, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-uH251hsudZq0DqxtTcSYFTcD,model_permission,1690864593,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
code-search-ada-text-001,model,1651172507,openai-dev,"[{'id': 'modelperm-1JbI0GFKw9luPgTJQut1uJNe', 'object': 'model_permission', 'created': 1690864601, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-1JbI0GFKw9luPgTJQut1uJNe,model_permission,1690864601,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
ada-search-document,model,1651172507,openai-dev,"[{'id': 'modelperm-jEtYYVTVutQ4BLh2DnGd9tJt', 'object': 'model_permission', 'created': 1690864171, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-jEtYYVTVutQ4BLh2DnGd9tJt,model_permission,1690864171,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
code-search-babbage-code-001,model,1651172507,openai-dev,"[{'id': 'modelperm-0mO5qmzzKUVVVZ9MIHTnwjwK', 'object': 'model_permission', 'created': 1690864510, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-0mO5qmzzKUVVVZ9MIHTnwjwK,model_permission,1690864510,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-ada-query-001,model,1651172505,openai-dev,"[{'id': 'modelperm-YO36k119sJYqPB8yHh737z8l', 'object': 'model_permission', 'created': 1690864529, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-YO36k119sJYqPB8yHh737z8l,model_permission,1690864529,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-davinci-query-001,model,1651172505,openai-dev,"[{'id': 'modelperm-X2U9yi1RKudh1hGQ9CnPth2A', 'object': 'model_permission', 'created': 1690864090, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-X2U9yi1RKudh1hGQ9CnPth2A,model_permission,1690864090,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
davinci-search-query,model,1651172505,openai-dev,"[{'id': 'modelperm-w5yjX7u1Hgz0jJFhPRB93n6I', 'object': 'model_permission', 'created': 1690864112, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-w5yjX7u1Hgz0jJFhPRB93n6I,model_permission,1690864112,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-similarity-babbage-001,model,1651172505,openai-dev,"[{'id': 'modelperm-8p0vOyyD6xVDYv6XOC4EYIin', 'object': 'model_permission', 'created': 1690864583, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-8p0vOyyD6xVDYv6XOC4EYIin,model_permission,1690864583,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-search-davinci-doc-001,model,1651172505,openai-dev,"[{'id': 'modelperm-sqcSr7AYu6WYtzWgysHg1zO4', 'object': 'model_permission', 'created': 1690864126, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-sqcSr7AYu6WYtzWgysHg1zO4,model_permission,1690864126,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
ada-search-query,model,1651172505,openai-dev,"[{'id': 'modelperm-cBtmsjrTZIJUKgjS8G6uALKM', 'object': 'model_permission', 'created': 1690864138, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-cBtmsjrTZIJUKgjS8G6uALKM,model_permission,1690864138,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-similarity-ada-001,model,1651172505,openai-dev,"[{'id': 'modelperm-fSDlSniO72T5MvD6ieDRue0a', 'object': 'model_permission', 'created': 1690864457, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-fSDlSniO72T5MvD6ieDRue0a,model_permission,1690864457,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
ada-code-search-code,model,1651172505,openai-dev,"[{'id': 'modelperm-469coJJMBDffmGlbftht9QR7', 'object': 'model_permission', 'created': 1690864147, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-469coJJMBDffmGlbftht9QR7,model_permission,1690864147,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
babbage-similarity,model,1651172505,openai-dev,"[{'id': 'modelperm-XBmFjRKu34Qvm9Y8Vjg6si3V', 'object': 'model_permission', 'created': 1690864610, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-XBmFjRKu34Qvm9Y8Vjg6si3V,model_permission,1690864610,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
text-similarity-davinci-001,model,1651172505,openai-dev,"[{'id': 'modelperm-CoAjJ7mSHeO28X7KowOnwvj9', 'object': 'model_permission', 'created': 1690864500, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': True, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-CoAjJ7mSHeO28X7KowOnwvj9,model_permission,1690864500,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,*,,FALSE
code-davinci-edit-001,model,1649880484,openai,"[{'id': 'modelperm-T8Ie7SvlPyvtsDvPlfC8DftZ', 'object': 'model_permission', 'created': 1690915089, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-T8Ie7SvlPyvtsDvPlfC8DftZ,model_permission,1690915089,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-davinci-002,model,1649880484,openai,"[{'id': 'modelperm-Ao62Dd2uu76ec6Koq1ksR2rj', 'object': 'model_permission', 'created': 1690864376, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-Ao62Dd2uu76ec6Koq1ksR2rj,model_permission,1690864376,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-davinci-edit-001,model,1649809179,openai,"[{'id': 'modelperm-bwEWUtGiBcdX0p1D1ayafH8w', 'object': 'model_permission', 'created': 1690915020, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-bwEWUtGiBcdX0p1D1ayafH8w,model_permission,1690915020,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-babbage-001,model,1649364043,openai,"[{'id': 'modelperm-YABzYWjC1kS6M2BnI6Fr9vuS', 'object': 'model_permission', 'created': 1690913878, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-YABzYWjC1kS6M2BnI6Fr9vuS,model_permission,1690913878,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-curie-001,model,1649364043,openai,"[{'id': 'modelperm-vcuXVPe8oCucYrY0hxBNBXRd', 'object': 'model_permission', 'created': 1690915039, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-vcuXVPe8oCucYrY0hxBNBXRd,model_permission,1690915039,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-davinci-001,model,1649364042,openai,"[{'id': 'modelperm-CDlahk1RbkghXDjtxqzXoPNo', 'object': 'model_permission', 'created': 1690913868, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-CDlahk1RbkghXDjtxqzXoPNo,model_permission,1690913868,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
curie-instruct-beta,model,1649364042,openai,"[{'id': 'modelperm-4GYfzAdSMcJmQvF7bsw01UWw', 'object': 'model_permission', 'created': 1690863785, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-4GYfzAdSMcJmQvF7bsw01UWw,model_permission,1690863785,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
davinci-instruct-beta,model,1649364042,openai,"[{'id': 'modelperm-ZNpXjNy0lDniBWzpvi6w6wSU', 'object': 'model_permission', 'created': 1690842588, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-ZNpXjNy0lDniBWzpvi6w6wSU,model_permission,1690842588,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
text-ada-001,model,1649364042,openai,"[{'id': 'modelperm-jRuB7xBCdj159SqaDmpPgeWO', 'object': 'model_permission', 'created': 1690915029, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-jRuB7xBCdj159SqaDmpPgeWO,model_permission,1690915029,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
davinci,model,1649359874,openai,"[{'id': 'modelperm-8s5tCuiXSr3zT00nLwZGyMpS', 'object': 'model_permission', 'created': 1690930152, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-8s5tCuiXSr3zT00nLwZGyMpS,model_permission,1690930152,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
curie,model,1649359874,openai,"[{'id': 'modelperm-0g6LBMO3cgUpTYzehqtF9G1i', 'object': 'model_permission', 'created': 1690950807, 'allow_create_engine': False, 'allow_sampling': True, 'allow_logprobs': True, 'allow_search_indices': False, 'allow_view': True, 'allow_fine_tuning': False, 'organization': '*', 'group': None, 'is_blocking': False}]",modelperm-0g6LBMO3cgUpTYzehqtF9G1i,model_permission,1690950807,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,*,,FALSE
